,2,3,4,5,6,7,8,9,10,11
4,H,H,SP,SP,SP,SP,H,H,H,H
6,H,H,SP,SP,SP,SP,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
10,D,D,D,D,D,D,D,H,H,H
12,H,H,H,H,SP,H,H,H,H,H
14,H,SP,SP,SP,SP,SP,H,H,H,H
16,SP,SP,SP,SP,SP,SP,SP,SP,H,H
18,S,S,S,S,S,S,SP,SP,S,S
20,S,S,S,S,S,S,S,S,S,S
22,SP,SP,SP,SP,SP,SP,SP,SP,SP,H
