,2,3,4,5,6,7,8,9,10,11
4,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
6,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
8,H,H,H,H,H,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H
12,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
14,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
16,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
18,S,S,S,S,S,S,SP,SP,SP,SP
20,S,S,S,S,S,S,S,S,S,S
22,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
