,2,3,4,5,6,7,8,9,10,11
4,SP,SP,SP,SP,SP,SP,H,H,H,H
6,H,SP,SP,SP,SP,SP,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H
12,H,SP,SP,SP,SP,H,H,H,H,H
14,SP,SP,SP,SP,SP,SP,H,H,H,H
16,SP,SP,SP,SP,SP,SP,SP,SP,H,H
18,SP,SP,SP,SP,SP,S,SP,SP,S,S
20,S,S,S,S,S,S,S,S,S,S
22,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
